ingredient,cfp,wfp,mapping_type,mapped_item
rind,,,no_match,NO_MATCH
oats,"0,67",1788,ingredient,OAT
cheddar,"11,21",5253,ingredient,CEDDAR
orange zest,"0,30",654,ingredient,ORANGE
spray,,,no_match,NO_MATCH
spice,"0,65",379,ingredient,PEPPER
linguine,,,no_match,NO_MATCH
bouillon,,,no_match,NO_MATCH
chili powder,"0,65",379,ingredient,PEPPER
ricotta,"5,45","2470,5",ingredient,RICOTTA
canola oil,"1,79",4190,ingredient,SOYBEAN OIL
peel,"2,15","748,0",typology,FRUIT
red onion,"0,22",290,ingredient,ONION
pineapple juice,"2,86",1273,ingredient,PINEAPPLE JUICE (I)
marshmallow,,,no_match,NO_MATCH
lemon zest,"0,34",642,ingredient,LEMON
peas,"0,45",1979,ingredient,PEA
cereal,"0,57",1639,ingredient,WHEAT
pork chop,"3,44",5798,ingredient,PORK CUTS WITH BONE
topping,,,no_match,NO_MATCH
leek,"1,865","336,0",typology,VEGETABLES
flakes,"2,64","2196,5",typology,BREAKFAST CEREALS
peppercorn,"0,65",379,ingredient,PEPPER
vodka,,,no_match,NO_MATCH
saffron,"0,84",731000,ingredient,SAFFRON
fruit,"2,15","748,0",typology,FRUIT
biscuit,"1,35",1423,ingredient,CRISPBREAD**
bread flour,"0,87","1889,5",typology,GRAIN FLOUR
white wine,"0,66","524,0",typology,WINE
soup mix,,,no_match,NO_MATCH
roll,,,no_match,NO_MATCH
bun,"0,86","901,8",typology,BREAD
red wine vinegar,,,no_match,NO_MATCH
corn syrup,"0,78","1294,5",typology,SUGAR
crabmeat,"20,25",1856,ingredient,LOBSTER
peanut oil,"2,11",7529,ingredient,PEANUT OIL
icing sugar,"0,78","1294,5",typology,SUGAR
unsalted butter,"8,48",5659,ingredient,BUTTER*
whole wheat flour,"0,36","1889,5",ingredient,WHOLE WHEAT FLOUR
chestnut,"1,11",2750,ingredient,CHESTNUT
brandy,,,no_match,NO_MATCH
fish sauce,"4,99","2313,5",ingredient,FISH MIXED
raisins,"0,81",2433,ingredient,RAISINS
apple juice,"2,86",1140,ingredient,APPLE JUICE (I)
white pepper,"0,65",379,ingredient,PEPPER
confectioners sugar,"0,78","1294,5",typology,SUGAR
soy,"0,56",4615,ingredient,SOYBEAN
pistachio,"1,60",11363,ingredient,PISTACHIO
red bell pepper,"1,865","336,0",typology,VEGETABLES
feta,"5,45","2470,5",ingredient,RICOTTA
pepperoni,"0,65",379,ingredient,PEPPER
rice vinegar,,,no_match,NO_MATCH
dry mustard,"0,84","8280,0",typology,SPICIES
cream of tartar,,,no_match,NO_MATCH
cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
sherry,"0,46","1506,5",ingredient,CHERRY
sweetened condensed milk,"1,44","1599,0",typology,ANIMAL MILK
chili pepper,"0,84","8280,0",typology,SPICIES
herb,"1,865","336,0",typology,VEGETABLES
ground ginger,"0,84",1657,ingredient,GINGER
ricotta cheese,"5,45","2470,5",ingredient,RICOTTA
seeds,"0,84",8280,ingredient,FENNEL SEEDS
cloves,"0,84",61205,ingredient,CLOVE
breast,,,no_match,NO_MATCH
crumb,"0,98","1258,0",typology,CRACKERS
pesto,"2,72",2174,ingredient,PESTO
lamb,"16,70",4362,ingredient,LAMB MEAT WITH BONE*
tarragon,,,no_match,NO_MATCH
filling,,,no_match,NO_MATCH
pie shell,,,no_match,NO_MATCH
boiling water,,,no_match,NO_MATCH
pine nut,"1,11",2868,ingredient,PALM NUT
orange rind,"0,30",654,ingredient,ORANGE
maple syrup,"0,78","1294,5",typology,SUGAR
Dijon mustard,"0,84","8280,0",typology,SPICIES
blue cheese,"9,59",5060,ingredient,CHEESE BLUE-VEINED
cashew,"1,38",11264,ingredient,CASHEW NUT
nuts,"1,11",9063,ingredient,MIXED NUTS
hazelnut,"1,11",11264,ingredient,HAZELNUT
whipped cream,"5,45",3838,ingredient,CREAM
lemon rind,"0,34",642,ingredient,LEMON
fennel,"0,33","362,0",ingredient,FENNEL
slice,,,no_match,NO_MATCH
barley,"0,48",1423,ingredient,BARLEY
butternut squash,"0,33",336,ingredient,SQUASH
hot water,,,no_match,NO_MATCH
artichoke heart,"0,33",818,ingredient,ARTICHOKE
jalapeno pepper,"0,84","8280,0",typology,SPICIES
kiwi,"0,49",514,ingredient,KIWI
puree,"1,03",713,ingredient,TOMATO PUREE
fish,"5,19","2313,5",ingredient,ROCK FISH
radish,"0,25","272,0",ingredient,RADISH
Splenda,"0,78","1294,5",typology,SUGAR
Cool Whip,"4,30",,ingredient,ICE CREAM
balsamic vinegar,,,no_match,NO_MATCH
clove garlic,"0,25",589,ingredient,GARLIC
sprout,"0,33",285,ingredient,BRUSSEL SPROUT
marmalade,,,no_match,NO_MATCH
curry,"0,84","8280,0",typology,SPICIES
currant,"0,64",499,ingredient,CURRANT
pastry,"2,14",1640,ingredient,CAKES AND CROISSANT**
hot sauce,"0,84","8280,0",typology,SPICIES
lemon peel,"0,34",642,ingredient,LEMON
swiss cheese,"8,93",5253,ingredient,CHEESE
chile,"0,65",379,ingredient,PEPPER
dough,,,no_match,NO_MATCH
espresso,"0,55",960,ingredient,ESPRESSO (L)
candy,"4,30",,ingredient,CHOCOLATE
poppy seed,"0,88",2188,ingredient,POPPY SEED
kosher salt,,,no_match,NO_MATCH
garlic salt,"0,84",2265,ingredient,GARLIC POWDER
rhubarb,"0,25","272,0",ingredient,RADISH
pumpkin puree,"0,24",336,ingredient,PUMPKIN
light brown sugar,"0,78","1294,5",typology,SUGAR
cream of mushroom soup,,,no_match,NO_MATCH
ground nutmeg,"0,84",34319,ingredient,NUTMEG
caper,,,no_match,NO_MATCH
quinoa,"0,97",1618,ingredient,QUINOA
cold water,"0,84",7365,ingredient,CHILLY
fettuccine,,,no_match,NO_MATCH
preserve,,,no_match,NO_MATCH
black bean,"0,43",5053,ingredient,BEAN
tomatoes,"0,45",41,ingredient,TOMATO
couscous,"0,57",2230,ingredient,RICE GROATS
lemongrass,"0,34",642,ingredient,LEMON
pecans,"0,83",2782,ingredient,PEANUT
penne,,,no_match,NO_MATCH
basil leaf,"2,72","2174,0",typology,PESTO
green bell pepper,"1,865","336,0",typology,VEGETABLES
ground beef,,,no_match,NO_MATCH
Bisquick,,,no_match,NO_MATCH
bouillon cube,,,no_match,NO_MATCH
cider vinegar,,,no_match,NO_MATCH
fig,"0,32",3350,ingredient,FIG
ice cube,,,no_match,NO_MATCH
cider,"2,86",1140,ingredient,APPLE JUICE (I)
vanilla ice cream,"4,30",,ingredient,ICE CREAM
red pepper flake,"0,84","8280,0",typology,SPICIES
onion soup mix,"0,22",290,ingredient,ONION
melted butter,"8,48",5659,ingredient,BUTTER*
wheat germ,"0,57",1639,ingredient,WHEAT
cake flour,"0,87",1849,ingredient,WHEAT FLOUR
celery seed,"0,33","362,0",ingredient,CELERY
chicken thigh,"2,82",3330,ingredient,CHICKEN MEAT WITH BONE
sunflower seed,"0,88",3366,ingredient,SUNFLOWER SEED
sea salt,,,no_match,NO_MATCH
mace,"0,84",34319,ingredient,MACE
scallop,"5,67","1856,0",typology,SHELLFISH
marjoram,"0,84","8280,0",typology,SPICIES
germ,,,no_match,NO_MATCH
blackberry,"0,64",413,ingredient,BLACKBERRY
jelly,"1,84",,ingredient,PEANUT BUTTER
red wine,"0,66","524,0",typology,WINE
prosciutto,"5,99","6177,0",typology,PORK CURED MEAT
whites,,,no_match,NO_MATCH
chocolate chips,"4,30",,ingredient,CHOCOLATE
walnuts,"2,06",11264,ingredient,WALNUT
soymilk,"0,78",2030,ingredient,SOY MILK
meat,"17,96",10943,ingredient,BEEF MEAT WITH BONE*
pimiento,"0,65",379,ingredient,PEPPER
apple cider,"2,86",1140,ingredient,APPLE JUICE (I)
papaya,"0,32",460,ingredient,PAPAYA
garbanzo bean,"0,52","555,5",typology,LEGUMES
bran,"0,48",1423,ingredient,BARLEY
tortellini,,,no_match,NO_MATCH
skim milk,"1,44","1599,0",typology,ANIMAL MILK
plum,"0,32",2180,ingredient,PLUM
chili sauce,"0,84","8280,0",typology,SPICIES
water chestnut,"1,11",2750,ingredient,CHESTNUT
chocolate syrup,"4,30",,ingredient,CHOCOLATE
butterscotch chip,,,no_match,NO_MATCH
pickle,"0,22",290,ingredient,ONION
beef broth,,,no_match,NO_MATCH
almonds,"1,88",11264,ingredient,ALMOND
fennel seed,"0,84",8280,ingredient,FENNEL SEEDS
hamburger,,,no_match,NO_MATCH
goat cheese,"9,59",5253,ingredient,GOAT CHEESE
cream of chicken soup,,,no_match,NO_MATCH
dry white wine,"0,66","524,0",typology,WINE
fresh lemon juice,"0,34",642,ingredient,LEMON
cranberry juice,"2,86",1019,ingredient,CRANBERRY JUICE (I)
baking mix,,,no_match,NO_MATCH
crouton,"0,98","1258,0",typology,CRACKERS
berry,"0,61",413,ingredient,STRAWBERRY
extra virgin olive oil,"3,27",14415,ingredient,OLIVE OIL
lemonade,"0,34",642,ingredient,LEMON
tilapia,"5,19",2263,ingredient,TILAPIA
pie crust,"1,35","1423,3",typology,CRISPBREAD
stick,"2,20","2313,5",ingredient,FISH STICK (F)
pumpkin pie spice,"0,84","8280,0",typology,SPICIES
orzo,,,no_match,NO_MATCH
tartar,,,no_match,NO_MATCH
watermelon,"0,32",185,ingredient,WATERMELON
pasta shell,"1,21",1508,ingredient,PASTA*
crushed pineapple,"0,28",255,ingredient,PINEAPPLE
hash brown,,,no_match,NO_MATCH
mandarin orange,"0,30",654,ingredient,ORANGE
turnip,"0,25",195,ingredient,TURNIP
chilies,"0,65",379,ingredient,PEPPER
capers,,,no_match,NO_MATCH
ginger ale,"0,84",1657,ingredient,GINGER
apple cider vinegar,,,no_match,NO_MATCH
beet,"0,25","272,0",ingredient,BEETROOT
chives,"0,84","8280,0",typology,SPICIES
kidney bean,"0,43",5053,ingredient,BEAN
lime zest,"0,84","8280,0",typology,SPICIES
ground clove,"0,84",61205,ingredient,CLOVE
orange peel,"0,30",654,ingredient,ORANGE
red pepper flakes,"0,65",379,ingredient,PEPPER
baguette,"0,86",667,ingredient,BREAD
monterey jack cheese,"8,93",5253,ingredient,CHEESE
pepper flakes,"0,65",379,ingredient,PEPPER
pepper flake,"0,65",379,ingredient,PEPPER
bread crumb,"0,86",667,ingredient,BREAD
celery rib,"0,33","362,0",ingredient,CELERY
diced tomato,"1,47",713,ingredient,TOMATO CHOPPED
relish,,,no_match,NO_MATCH
frosting,"1,99","2158,0",typology,SWEETS
celery salt,"0,33","362,0",ingredient,CELERY
yam,"0,27",343,ingredient,YAM
prawn,"7,04",1738,ingredient,PRAWNS GIANT
stuffing,"0,86",667,ingredient,BREAD
graham cracker crumb,"0,98","1258,0",typology,CRACKERS
semi-sweet chocolate chip,"4,30",,ingredient,CHOCOLATE
pork tenderloin,"7,95",6177,ingredient,PORK HAM
seasoning salt,"0,84","8280,0",typology,SPICIES
Tabasco sauce,,,no_match,NO_MATCH
white wine vinegar,,,no_match,NO_MATCH
lemon extract,"0,34",642,ingredient,LEMON
maraschino cherry,"0,46","1506,5",ingredient,CHERRY
cherry pie filling,"0,46","1506,5",ingredient,CHERRY
caramel,"0,78","1294,5",typology,SUGAR
italian seasoning,"0,84","8280,0",typology,SPICIES
orange juice concentrate,"0,46",1019,ingredient,ORANGE JUICE
vanilla bean,"0,84",126505,ingredient,VANILLA BEAN
mint leaf,"0,84",288,ingredient,PEPPERMINT
tea,"0,84",288,ingredient,PEPPERMINT
dark brown sugar,"0,78","1294,5",typology,SUGAR
olives,"0,64",3015,ingredient,OLIVES
brownie mix,"3,16","20717,0",typology,CHOCOLATE
mussel,"0,46",1856,ingredient,MUSSELS
creamer,"5,45",3838,ingredient,CREAM
sherry wine,"0,66",524,ingredient,WINE WHITE
Kahlua,"0,55","960,0",typology,COFFEE LIQUID
wafer,"1,35","1423,3",typology,CRISPBREAD
dried basil,,,no_match,NO_MATCH
cherry tomato,"1,865","336,0",typology,VEGETABLES
rolled oats,"0,57",2536,ingredient,OAT GROATS
okra,"0,33",576,ingredient,OKRA
mustard seed,"0,88",2809,ingredient,MUSTARD SEED
ground black pepper,"0,84","8280,0",typology,SPICIES
shell,"1,11",5258,ingredient,HAZELNUT WITH SHELL
dill weed,,,no_match,NO_MATCH
kielbasa,"5,99",6177,ingredient,SAUSAGES
substitute,,,no_match,NO_MATCH
cube,,,no_match,NO_MATCH
salt and pepper,"0,65",379,ingredient,PEPPER
hot pepper sauce,"0,84","8280,0",typology,SPICIES
packed brown sugar,"0,78","1294,5",typology,SUGAR
sauerkraut,"1,865","336,0",typology,VEGETABLES
bean sprout,"0,52",516,ingredient,BEAN (fresh)
pectin,,,no_match,NO_MATCH
arugula,"1,865","336,0",typology,VEGETABLES
vegetable stock,"0,54","362,0",ingredient,VEGETABLES
crescent roll,"0,86","901,8",typology,BREAD
Miracle Whip,"1,46",572,ingredient,MAYONNAISE
grapefruit,"2,86",675,ingredient,GRAPEFRUIT JUICE
pita,"0,86","901,8",typology,BREAD
flax seed,"0,88","3087,5",typology,SEEDS
Grand Marnier,,,no_match,NO_MATCH
catsup,"1,46",534,ingredient,KETCHUP
warm water,,,no_match,NO_MATCH
anchovy,"0,82","2313,5",ingredient,ANCHOVY
tahini,,,no_match,NO_MATCH
