ingredient,cfp,wfp,mapping_type,mapped_item
finely chopped leek,"1,865","336,0",typology,VEGETABLES
small carrots,"0,81","750,5",ingredient,CARROTS (F)
parsley sauce,,,no_match,NO_MATCH
porcini,,,no_match,NO_MATCH
dry white breadcrumb,"0,86","901,8",typology,BREAD
fresh mint sprig,"0,84",288,ingredient,PEPPERMINT
white dipping chocolate,"3,16","20717,0",typology,CHOCOLATE
blue food coloring,,,no_match,NO_MATCH
small yellow squash,"0,33",336,ingredient,SQUASH
chopped fresh dill,"1,865","336,0",typology,VEGETABLES
peeled apple,"0,81",6847,ingredient,APPLES
artichoke marinade,"0,33",818,ingredient,ARTICHOKE
mornay sauce,,,no_match,NO_MATCH
chopped peeled tart apple,,,no_match,NO_MATCH
head red leaf lettuce,"0,41",237,ingredient,LETTUCE
chocolate chip cookie mix,"1,47","1870,3",typology,BISCUITS
slice smoked gouda cheese,"8,93",5253,ingredient,CHEESE
packet hollandaise sauce,,,no_match,NO_MATCH
imitation sea leg,"2,12","2313,5",typology,FISH PROCESSED
frozen oven chip,,,no_match,NO_MATCH
twinkie,"1,99","2158,0",typology,SWEETS
savoiardi,,,no_match,NO_MATCH
muffin tin,,,no_match,NO_MATCH
whaler vanille rum,,,no_match,NO_MATCH
cappelletti pasta,"3,15",4637,ingredient,EGG PASTA*
lemon infused olive oil,"3,27",14415,ingredient,OLIVE OIL
flavor shortening,,,no_match,NO_MATCH
fat-free margarine,"1,39",1324,ingredient,MARGARINE*
pattypan squash,"0,33",336,ingredient,SQUASH
parmesan flavored breadcrumb,,,no_match,NO_MATCH
grapefruit zest,"2,86",675,ingredient,GRAPEFRUIT JUICE
Jack Daniels Black Label Mix,,,no_match,NO_MATCH
prepared instant mashed potato,"1,48","806,6",typology,VEGETABLES CANNED
dbl act. baking powder,,,no_match,NO_MATCH
slice Velveeta cheese,"8,93",5253,ingredient,CHEESE
corn flakes cereal,"2,64","2196,5",ingredient,CORNFLAKES*
skim condensed milk,"1,44","1599,0",typology,ANIMAL MILK
crushed biscuits,"0,93",1378,ingredient,FLAVORED CRACKERS**
sweet corn relish,,,no_match,NO_MATCH
cantal cheese,"8,93",5253,ingredient,CHEESE
French cheese,"8,93",5253,ingredient,CHEESE
gluten-free rice flour mix,"0,87",2429,ingredient,RICE FLOUR & MEAL
creamy herbed goat cheese,"9,59",5253,ingredient,GOAT CHEESE
rollo chocolate-covered caramel candy,"1,99","2158,0",typology,SWEETS
minced fresh dill,"1,865","336,0",typology,VEGETABLES
minced fresh coriander,"0,84",8280,ingredient,CORIANDER
package instant lemon pudding,,,no_match,NO_MATCH
milk chocolate pieces,"3,16",20717,ingredient,MILK CHOCOLATE
Kit Kat bar,"3,16","20717,0",typology,CHOCOLATE
semi-sweet chocolate bit,"3,16","20717,0",typology,CHOCOLATE
candy-coated chocolate,"4,30",,ingredient,CHOCOLATE
canned vanilla frosting,"4,30",,ingredient,VANILLA
dried mixed herb,,,no_match,NO_MATCH
Mccormick potato toppers,"0,27","1523,0",typology,STARCHY TUBER
bean mix,"0,43",5053,ingredient,BEAN
TABASCO® brand Chipotle Pepper Sauce,"0,65",379,ingredient,PEPPER
dry textured vegetable protein,"2,27","1724,5",typology,VEGETAL PROTEINS
course sea salt,,,no_match,NO_MATCH
toasted muesli,"2,64","2196,5",typology,BREAKFAST CEREALS
peeled plum tomato,"1,3",267,ingredient,TOMATO PEELED
cereal bar,"2,64","2196,5",typology,BREAKFAST CEREALS
squares bittersweet chocolate,"3,16",20717,ingredient,DARK CHOCOLATE
almond butter brickle,"1,88",11264,ingredient,ALMOND
package instant vanilla,"4,30",,ingredient,VANILLA
french fried onion,"0,22",290,ingredient,ONION
shredded potato,"0,24",555,ingredient,POTATO
diced jalapeno pepper,"1,865","336,0",typology,VEGETABLES
ground chorizo sausage,"5,99",6177,ingredient,SAUSAGES
dried buttermilk,"1,44","1599,0",typology,ANIMAL MILK
jar banana baby food,"0,34",748,ingredient,BANANA
mild chili powder,"0,84","8280,0",typology,SPICIES
tarragon red wine vinegar,,,no_match,NO_MATCH
ajie,"0,84","8280,0",typology,SPICIES
tomato and basil pasta sauce,"1,14",147,ingredient,TOMATO & BASIL
glaze butter,"8,48",5659,ingredient,BUTTER*
glaze cocoa,"3,16","20717,0",typology,CHOCOLATE
glaze extract,,,no_match,NO_MATCH
chocolate caramels,"3,16","20717,0",typology,CHOCOLATE
dry pasta,"1,21",1508,ingredient,PASTA*
Wondra Flour,"0,87","1889,5",typology,GRAIN FLOUR
chopped escarole,,,no_match,NO_MATCH
semi sun-dried tomato,"0,45",41,ingredient,TOMATO
chopped fresh parsley leaf,,,no_match,NO_MATCH
vanilla shortbread,"1,47","1870,3",typology,BISCUITS
broccosprout,"1,865","336,0",typology,VEGETABLES
dry chopped mint,,,no_match,NO_MATCH
package cajun-style rice,"0,57","2133,0",typology,"PROCESSED GRAINS (grouts, malt)"
Pillsbury sugar cookie dough,,,no_match,NO_MATCH
curd cheese,"8,93",5253,ingredient,CHEESE
madeira,"0,66","524,0",typology,WINE
black forest ham,"5,99","6177,0",typology,PORK CURED MEAT
large avocado,"0,54",1805,ingredient,AVOCADO
prego pasta sauce,"1,19","151,3",typology,TOMATO SAUCE
mache,,,no_match,NO_MATCH
roast chicken seasoning,,,no_match,NO_MATCH
finely shredded parmesan cheese,"9,59",5060,ingredient,CHEESE GRATED
lucky blanched almond,"1,88",11264,ingredient,ALMOND
firmly packed mint,"0,84",288,ingredient,PEPPERMINT
link hot Italian sausage,"5,99",6177,ingredient,SAUSAGES
diced mozzarella cheese,"8,20",5253,ingredient,MOZZARELLA
Italian tomatoes,"0,45",41,ingredient,TOMATO
fetta cheese,"9,59",5253,ingredient,GOAT CHEESE
corn on the cob,,,no_match,NO_MATCH
Italian plum tomato,"0,45",41,ingredient,TOMATO
slice cheese,"8,93",5253,ingredient,CHEESE
orange crush orange soda,,,no_match,NO_MATCH
spinach tagliatelle,"0,34",292,ingredient,SPINACH
boneless chicken thigh,"3,68",3960,ingredient,CHICKEN BONE FREE MEAT
pickled beet,"0,25","272,0",ingredient,BEETROOT
sheets nori,,,no_match,NO_MATCH
sushi rice,"2,19",1597,ingredient,RICE*
dry vegetable soup mix,,,no_match,NO_MATCH
hot fudge sauce,,,no_match,NO_MATCH
chopped jalapeno pepper,"0,84","8280,0",typology,SPICIES
sourdough baguette,"0,86",667,ingredient,BREAD
toasted nut,"1,38",11264,ingredient,CASHEW NUT
wine chorizo sausage,"5,99",6177,ingredient,SAUSAGES
Libbys canned pumpkin,"0,24",336,ingredient,PUMPKIN
wholemeal self-rising flour,"0,36","1889,5",ingredient,WHOLE WHEAT FLOUR
leaves fresh basil,,,no_match,NO_MATCH
peeled garlic,"0,25",589,ingredient,GARLIC
cooked calrose rice,"2,19",1597,ingredient,RICE*
finely grated fresh lemon rind,"0,34",642,ingredient,LEMON
medium calamari,"5,19","2313,5",typology,FISH
spinach tortilla,"0,34",292,ingredient,SPINACH
drops red gel food coloring,,,no_match,NO_MATCH
tarhana,,,no_match,NO_MATCH
seafood magic seasoning,"4,99","2313,5",ingredient,FISH MIXED
licorice string,,,no_match,NO_MATCH
extra asparagus,"0,83",2150,ingredient,ASPARAGUS
wasa,,,no_match,NO_MATCH
veal scallop,,,no_match,NO_MATCH
shelled pea,"0,45",1979,ingredient,PEA
cervelat,,,no_match,NO_MATCH
veal stock,,,no_match,NO_MATCH
sliced pitted ripe olive,"0,64",3015,ingredient,OLIVES
refined flour,"0,52","1889,5",ingredient,WHEAT PLAIN FLOUR
whole-grain penne pasta,"1,21",1508,ingredient,PASTA*
redleaf lettuce,"0,41",237,ingredient,LETTUCE
cheese dip,"8,93",5253,ingredient,CHEESE
cheese curd,"8,93",5253,ingredient,CHEESE
hundreds and thousands,,,no_match,NO_MATCH
mild goat cheese,"9,59",5253,ingredient,GOAT CHEESE
za\atar,,,no_match,NO_MATCH
cinnamon-swirl bread,"0,86","901,8",typology,BREAD
rice cakes,"0,57",2230,ingredient,RICE GROATS
assorted baby green,,,no_match,NO_MATCH
oreo cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
baker chocolate,"4,30",,ingredient,CHOCOLATE
decorating icing,,,no_match,NO_MATCH
reserved pasta water,,,no_match,NO_MATCH
fresh herbs,"0,84",8280,ingredient,CORIANDER
dry white vermouth,"0,66","524,0",typology,WINE
ice cream stick,"4,30",,ingredient,ICE CREAM
medium chopped onion,"0,22",290,ingredient,ONION
pudding cake mix,,,no_match,NO_MATCH
large shallot,"0,25",272,ingredient,SHALLOT
slice Italian bread,"0,86",667,ingredient,BREAD
liquid sugar substitute,,,no_match,NO_MATCH
ground veal,,,no_match,NO_MATCH
Italian cheese,"8,20",5253,ingredient,MOZZARELLA
toasted pecans,"1,11",16095,ingredient,ALMOND SHELLED
steak-um,,,no_match,NO_MATCH
ground ham,"7,95",6177,ingredient,PORK HAM
beef tomato,"1,865","336,0",typology,VEGETABLES
longhorn cheese,"8,93",5253,ingredient,CHEESE
Greek salad dressing,"3,27",14415,ingredient,OLIVE OIL
fresh fettuccine,,,no_match,NO_MATCH
chocolate fudge pudding,"4,30",,ingredient,CHOCOLATE
cooled mashed potatoes,"0,24",555,ingredient,POTATO
deli roll,"0,86","901,8",typology,BREAD
hominy grit,"0,57","1618,0",typology,GRAINS
slice Fontina cheese,"8,93",5253,ingredient,CHEESE
slice toast,"0,86",667,ingredient,BREAD
dried whole pea,"0,45",1979,ingredient,PEA
white pea bean,"0,43",5053,ingredient,BEAN
coarsely chopped onion,"0,22",290,ingredient,ONION
shell macaroni,,,no_match,NO_MATCH
garlic sprout,"1,865","336,0",typology,VEGETABLES
huckleberries,"0,78",845,ingredient,BLUEBERRY
cooked cubed turkey,"3,88","4325,0",typology,POULTRY BONE FREE MEAT
mixed herbs,,,no_match,NO_MATCH
store-bought pesto sauce,"2,72",2174,ingredient,PESTO
crushed pork rind,,,no_match,NO_MATCH
pappardelle pasta,"3,15",4637,ingredient,EGG PASTA*
garlic rice and vermicelli mix,,,no_match,NO_MATCH
grated peel,,,no_match,NO_MATCH
juice of,"2,86","1019,0",typology,FRUIT JUICE
packed flat leaf parsley,"0,33","750,5",typology,VEGETABLES OPENFIELD
shelled natural pistachio nut,"1,11",16095,ingredient,ALMOND SHELLED
cinnamon roll dough,"0,86","901,8",typology,BREAD
finely chopped jalapeno,"0,84","8280,0",typology,SPICIES
topping mix,,,no_match,NO_MATCH
strawberry drink mix,,,no_match,NO_MATCH
fudge brownie mix,"3,16","20717,0",typology,CHOCOLATE
cookie pie crust,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
oil not olive oil,"2,11",7529,ingredient,PEANUT OIL
sandies,"1,47","1870,3",typology,BISCUITS
sheet phyllo dough,,,no_match,NO_MATCH
caciocavallo,,,no_match,NO_MATCH
box scalloped potato,"0,24",555,ingredient,POTATO
dry bean,"0,43",5053,ingredient,BEAN
sliced ham,"7,95",6177,ingredient,PORK HAM
sliced smoked turkey,"3,88","4325,0",typology,POULTRY BONE FREE MEAT
cooked penne pasta,"1,21",1508,ingredient,PASTA*
dried savory,"0,84","8280,0",typology,SPICIES
raspberry junket danish dessert mix,,,no_match,NO_MATCH
vin santo,"0,66","524,0",typology,WINE
finely chopped sun-dried tomato,"0,81","2636,5",typology,DRIED FRUIT
finely chopped kalamata olive,"0,64",3015,ingredient,OLIVES
packet active dry yeast,"3,29",,ingredient,YEAST DRIED*
tomato concentrate,"1,03",713,ingredient,TOMATO PUREE
miniature M&M baking bits,,,no_match,NO_MATCH
Jagermeister,,,no_match,NO_MATCH
graham cracker crumb crust,"0,98","1258,0",typology,CRACKERS
fish-fry mix,"2,12","2313,5",typology,FISH PROCESSED
mixed fresh herbs,"0,84",8280,ingredient,CORIANDER
duck fat,,,no_match,NO_MATCH
crushed hazelnut,"1,11",11264,ingredient,HAZELNUT
chopped fresh thyme,,,no_match,NO_MATCH
frozen mixed berry,"1,18","748,0",typology,FRUIT FROZEN
pumpkin pie mix,,,no_match,NO_MATCH
shredded longhorn cheese,"9,59",5060,ingredient,CHEESE GRATED
aji yellow paste,,,no_match,NO_MATCH
dried sweet basil leaf,,,no_match,NO_MATCH
havarti,"5,45",5253,ingredient,STRACCHINO
biscuit crumbs,"0,86",667,ingredient,BREAD
plain nonfat yogurt,"2,55","1540,0",typology,YOGURT
finely shredded carrots,"0,24",195,ingredient,CARROT
casarecce,,,no_match,NO_MATCH
california avocado,"0,54",1805,ingredient,AVOCADO
fruit salsa,"2,15","748,0",typology,FRUIT
miniature tart shell,,,no_match,NO_MATCH
chocolate graham cracker crumbs,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
scallop squash,,,no_match,NO_MATCH
stalk of celery,"0,33","362,0",ingredient,CELERY
fennel sausage,"5,99",6177,ingredient,SAUSAGES
hot chicken stock,,,no_match,NO_MATCH
hot verde sauce,,,no_match,NO_MATCH
cheese dressing,,,no_match,NO_MATCH
slice of white bread,"0,89",1031,ingredient,BREAD PLAIN**
flat-leaf parsley,"0,84",8280,ingredient,CORIANDER
melted unsalted butter,"8,48",5659,ingredient,BUTTER*
Frenchs French fried onion,"0,22",290,ingredient,ONION
crushed graham cracker crumbs,"0,98","1258,0",typology,CRACKERS
yogurt cheese,"8,93",5253,ingredient,CHEESE
padano,"9,59",5253,ingredient,GRANA PADANO
bottled caramel topping,,,no_match,NO_MATCH
corn flakes crushed,"2,64","2196,5",ingredient,CORNFLAKES*
unsalted pistachios,"1,60",11363,ingredient,PISTACHIO
whey protein powder,"1,44","1599,0",typology,ANIMAL MILK
sifted baking powder,,,no_match,NO_MATCH
roasted hazelnuts,"1,11",11264,ingredient,HAZELNUT
finely grated lime zest,"0,34",642,ingredient,LIME
grill-mate,,,no_match,NO_MATCH
portabella,,,no_match,NO_MATCH
English toffee bits,,,no_match,NO_MATCH
small sweet onion,"0,22",290,ingredient,ONION
shredded cooked turkey,"3,88","4325,0",typology,POULTRY BONE FREE MEAT
macadamia nuts,,,no_match,NO_MATCH
black and red pepper blend,"0,65",379,ingredient,PEPPER
frozen berry,"1,18","748,0",typology,FRUIT FROZEN
manouri cheese,"9,59",5253,ingredient,GOAT CHEESE
peach flavoring,"0,39",910,ingredient,PEACH
malt biscuit,"0,57",1950,ingredient,MALT
canned green chili pepper,"1,48","806,6",typology,VEGETABLES CANNED
cheesecake pudding mix,,,no_match,NO_MATCH
gluten free flour,,,no_match,NO_MATCH
sbrinz,,,no_match,NO_MATCH
slice ripe tomato,"0,45",41,ingredient,TOMATO
slice mozzarella cheese,"8,20",5253,ingredient,MOZZARELLA
fine chopped nuts,"1,11","11264,0",typology,NUTS
veal mince,,,no_match,NO_MATCH
large granny smith apple,"0,81",6847,ingredient,APPLES
meyer lemon zest,"0,34",642,ingredient,LEMON
lemon cookie crumbs,"1,47","1870,3",typology,BISCUITS
chopped fresh broccoli,"0,57",336,ingredient,BROCCOLI
thinly sliced apples,"0,81",6847,ingredient,APPLES
chocolate extract,"4,30",,ingredient,CHOCOLATE
corn grit,"0,87","1889,5",ingredient,MAIZE FLOUR
chocolate pieces,"4,30",,ingredient,CHOCOLATE
chihuahua cheese,"8,93",5253,ingredient,CHEESE
red salmon,"3,37",2193,ingredient,SALMON
oyster cracker,"1,35",1447,ingredient,PLAIN CRACKERS**
chopped baking apples,"0,81",6847,ingredient,APPLES
sliced olive,"0,64",3015,ingredient,OLIVES
slice fresh mozzarella cheese,"8,20",5253,ingredient,MOZZARELLA
slice roma tomato,"0,45",41,ingredient,TOMATO
mini bell pepper,"1,865","336,0",typology,VEGETABLES
chocolate graham wafer pie crust,"3,16","20717,0",typology,CHOCOLATE
slices toast,"0,86",667,ingredient,BREAD
fideos,,,no_match,NO_MATCH
pioneer biscuit mix,,,no_match,NO_MATCH
chopped chive,"1,865","336,0",typology,VEGETABLES
imitation cream cheese,"5,45","5253,0",typology,CHEESE FRESH
vol-au-vent,,,no_match,NO_MATCH
splenda brown sugar blend,"0,78","1294,5",typology,SUGAR
meat stock,,,no_match,NO_MATCH
whole cherry jam,"0,46","1506,5",ingredient,CHERRY
carton Cool Whip,,,no_match,NO_MATCH
maize flour,"0,87","1889,5",ingredient,MAIZE FLOUR
cookie crumbs,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
chocolate pudding mix,"3,16","20717,0",typology,CHOCOLATE
mixed deluxe candied fruit,"1,07",748,ingredient,EXOTIC FRUIT (I)
frango chocolate-covered mint candy,"4,30",,ingredient,CHOCOLATE
chia,,,no_match,NO_MATCH
Tony Chacheres Seasoning,"0,84","8280,0",typology,SPICIES
green liquid food coloring,"0,33",700,ingredient,MAIZE GREEN
fresh berries,"0,78",845,ingredient,BLUEBERRY
cranberry-orange relish,"0,64",276,ingredient,CRANBERRY
canned pure pumpkin,"0,24",336,ingredient,PUMPKIN
Skor chip,,,no_match,NO_MATCH
diced dried pineapple,"0,28",255,ingredient,PINEAPPLE
Zwieback,"0,86","901,8",typology,BREAD
calcium powder,,,no_match,NO_MATCH
ground poppy seed,"0,88",2188,ingredient,POPPY SEED
dry cider,,,no_match,NO_MATCH
coarsely chopped apples,"0,81",6847,ingredient,APPLES
chocolate malt powder,"0,57",1950,ingredient,MALT
cold cream cheese,"8,93",5253,ingredient,CHEESE
ground blanched almond,"1,88",11264,ingredient,ALMOND
leave,"0,41",237,ingredient,LETTUCE
Kraft caramel,,,no_match,NO_MATCH
crushed pecans,,,no_match,NO_MATCH
topping butter,"8,48",5659,ingredient,BUTTER*
topping flour,,,no_match,NO_MATCH
whole milk ricotta cheese,"5,45","2470,5",ingredient,RICOTTA
ginger brandy,"0,84",1657,ingredient,GINGER
charcoal,,,no_match,NO_MATCH
finely chopped dried cranberries,"0,64",276,ingredient,CRANBERRY
gluten-free oat,"0,67",1788,ingredient,OAT
gluten-free baking mix,,,no_match,NO_MATCH
shaved chocolate bar,"3,16",20717,ingredient,MILK CHOCOLATE
crushed chocolate cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
medium chopped walnut,"2,06",11264,ingredient,WALNUT
leaf fresh spinach,"0,34",292,ingredient,SPINACH
raspberry chocolate chips,"3,16","20717,0",typology,CHOCOLATE
wafer cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
snickers,"4,30",,ingredient,CHOCOLATE
frozen mixed peas and carrots,"0,81",339,ingredient,MIXED VEGETABLES (F)
vegetarian refried beans,"0,78","555,5",typology,LEGUMES CANNED
small corn tortilla,,,no_match,NO_MATCH
gravy browner,,,no_match,NO_MATCH
sliced sun-dried tomato,"0,81","2636,5",typology,DRIED FRUIT
box angel hair pasta,"1,21",1508,ingredient,PASTA*
southern comfort,,,no_match,NO_MATCH
hefeweizen,"0,69","155,0",typology,BEER
godiva chocolate liqueur,"4,30",,ingredient,CHOCOLATE
rich,,,no_match,NO_MATCH
olive spread,"0,64",3015,ingredient,OLIVES
red peppercorn,"0,84",7611,ingredient,PEPPER (PIPER SPP.)
cooked shredded chicken,"3,68",3960,ingredient,CHICKEN BONE FREE MEAT
hard roll,,,no_match,NO_MATCH
peanut butter sandwich cookie,"1,84",,ingredient,PEANUT BUTTER
candied lemon peel,"0,34",642,ingredient,LEMON
candied citron peel,"0,81","2636,5",typology,DRIED FRUIT
dorito nacho chip,"0,93",1378,ingredient,FLAVORED CRACKERS**
false cardamom powder,,,no_match,NO_MATCH
lemon verbena leaf,"0,34",642,ingredient,LEMON
lingonberry butter,"8,48",5659,ingredient,BUTTER*
coffee mocha ice cream,"4,30",,ingredient,ICE CREAM
butterscotch topping,,,no_match,NO_MATCH
dash yellow food coloring,,,no_match,NO_MATCH
unsalted cracker,"1,35",1447,ingredient,PLAIN CRACKERS**
broken walnut,"2,06",11264,ingredient,WALNUT
broken pecan,"1,11","11264,0",typology,NUTS
angelica,"0,84","8280,0",typology,SPICIES
low-sugar apple butter,,,no_match,NO_MATCH
Nutrasweet,,,no_match,NO_MATCH
berry sugar,"0,78","1294,5",typology,SUGAR
fruit chutney,"2,15","748,0",typology,FRUIT
package almond brickle chip,,,no_match,NO_MATCH
fat-free chicken broth,,,no_match,NO_MATCH
fat-free cream of chicken soup,,,no_match,NO_MATCH
hash,,,no_match,NO_MATCH
cloth,,,no_match,NO_MATCH
stick unsalted butter,"8,48",5659,ingredient,BUTTER*
hershey\s cocoa,"3,16",15618,ingredient,COCOA POWDER
crushed pretzel,"0,98","1258,0",typology,CRACKERS
imitation vanilla,"4,30",,ingredient,VANILLA
whip cream,"5,45",3838,ingredient,CREAM
imitation strawberry extract,"0,61",413,ingredient,STRAWBERRY
banana cream pudding mix,,,no_match,NO_MATCH
sour cream with chives,,,no_match,NO_MATCH
large clove,,,no_match,NO_MATCH
orange Kool-Aid mix,"0,46",1019,ingredient,ORANGE JUICE
packet asian home gourmet butter chicken paste,,,no_match,NO_MATCH
green tea leaf,,,no_match,NO_MATCH
bitter orange marmalade,,,no_match,NO_MATCH
red currant jam,"0,64",499,ingredient,CURRANT
whip topping,"4,30",,ingredient,ICE CREAM
Pillsbury Grands refrigerated buttermilk biscuit,"1,47","1870,3",typology,BISCUITS
lingonberry jam,"0,64",276,ingredient,CRANBERRY
turkey giblet,,,no_match,NO_MATCH
swedish fish candy,"1,99","2158,0",typology,SWEETS
coffee-mate,"0,55","960,0",typology,COFFEE LIQUID
crushed chocolate wafer,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
chocolate sandwich cookie,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
choc ripple biscuit,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
reserved chicken broth,,,no_match,NO_MATCH
veg-all mixed vegetables,"0,81",339,ingredient,MIXED VEGETABLES (F)
sweet unsalted butter,"8,48",5659,ingredient,BUTTER*
beef bacon,"5,99",6116,ingredient,BACON
shortbread pie crust,,,no_match,NO_MATCH
fresh linguine,,,no_match,NO_MATCH
prepared lemon curd,"0,34",642,ingredient,LEMON
seedless red raspberry jam,,,no_match,NO_MATCH
leeks,"1,865","336,0",typology,VEGETABLES
button mushrooms,"2,06",,ingredient,MUSHROOM*
diced green onion,"0,22",290,ingredient,ONION
diced pickled jalapeno pepper,"1,48","806,6",typology,VEGETABLES CANNED
taquito,,,no_match,NO_MATCH
vegetarian sausage,"5,99",6177,ingredient,SAUSAGES
mozzarella ball,"8,20",5253,ingredient,MOZZARELLA
bluefish,"5,19","2313,5",typology,FISH
ground rosemary,,,no_match,NO_MATCH
medium bell pepper,"1,865","336,0",typology,VEGETABLES
large sweet banana pepper,,,no_match,NO_MATCH
gluten-free breadcrumbs,,,no_match,NO_MATCH
marshmallow fluff,,,no_match,NO_MATCH
pollock fillet,"5,19","2313,5",ingredient,POLLOCK
mushroom stock cube,,,no_match,NO_MATCH
grape gelatin,"0,31",608,ingredient,GRAPES
green plantain,"0,32",1602,ingredient,PLANTAIN
medium roma tomato,"0,45",41,ingredient,TOMATO
fudge sauce,,,no_match,NO_MATCH
sheet parchment paper,"6,71","19956,0",typology,COFFEE GROUND & PARCHMENT
wiener,,,no_match,NO_MATCH
snow crabmeat,"5,67","1856,0",typology,SHELLFISH
fruit or pie filling,"0,28",255,ingredient,PINEAPPLE
whole chicken wing,"2,82",3330,ingredient,CHICKEN MEAT WITH BONE
light salad dressing,"1,46","572,0",typology,DRESSING
large sage leaf,,,no_match,NO_MATCH
whole turkey,"2,13","3330,3",ingredient,TURKEY MEAT WITH BONE
shredded aged cheese,"9,59",5060,ingredient,CHEESE GRATED
canned clam,"5,67","1856,0",typology,SHELLFISH
hot chopped green chili pepper,"0,84","8280,0",typology,SPICIES
mild chopped green chili pepper,"1,48","806,6",typology,VEGETABLES CANNED
crushed tomatillo,"2,15","748,0",typology,FRUIT
glutamate,,,no_match,NO_MATCH
chipotle mayonnaise,"1,46",572,ingredient,MAYONNAISE
plaice fillet,"5,19","2313,5",ingredient,PLAICE
whole green chili,"0,84","8280,0",typology,SPICIES
envelope dry vegetable soup mix,,,no_match,NO_MATCH
package frozen chopped spinach,"0,81",834,ingredient,SPINACH (F)
aji limo chile,,,no_match,NO_MATCH
pea sprout,"0,45",1979,ingredient,PEA
grated swiss cheese,"9,59",5060,ingredient,CHEESE GRATED
French fried onion ring,"0,22",290,ingredient,ONION
condensed French onion soup,"1,48","806,6",typology,VEGETABLES CANNED
dry enchilada mix,,,no_match,NO_MATCH
package corn tortilla,,,no_match,NO_MATCH
spinach dip mix,"0,34",292,ingredient,SPINACH
frozen pea and carrot,"0,81","750,5",typology,VEGETABLES FROZEN
Snackwells cinnamon snack,,,no_match,NO_MATCH
canned cherry pie filling,,,no_match,NO_MATCH
Fiesta nacho cheese soup,"8,93",5253,ingredient,CHEESE
frozen green peas,"0,81",850,ingredient,PEAS (F)
chopped pimiento,"0,65",379,ingredient,PEPPER
prosciutto slice,"5,99","6177,0",typology,PORK CURED MEAT
toblerone chocolate,"4,30",,ingredient,CHOCOLATE
canned Italian plum tomato,"1,48","806,6",typology,VEGETABLES CANNED
Peppadew pepper,"0,65",379,ingredient,PEPPER
baby yukon gold potato,"0,24",555,ingredient,POTATO
bar cream cheese,"5,45","5253,0",typology,CHEESE FRESH
coconut cream pudding,"0,54",2030,ingredient,COCONUT MILK
box chicken rice-a-roni,,,no_match,NO_MATCH
box of fried rice w/ almonds Rice-A-Roni,,,no_match,NO_MATCH
jars marinated artichoke hearts,"0,33",818,ingredient,ARTICHOKE
sliced ripe black olive,"0,64",3015,ingredient,OLIVES
roman beans,"0,43",5053,ingredient,BEAN
boursin cream cheese,"8,93",5253,ingredient,CHEESE
bacon strip,"5,99",6116,ingredient,BACON
red-leaf lettuce,"0,41",237,ingredient,LETTUCE
half cream,"5,45",3838,ingredient,CREAM
origanum,,,no_match,NO_MATCH
frozen creamed corn,"0,81","750,5",typology,VEGETABLES FROZEN
whole canned chili,"1,48","806,6",typology,VEGETABLES CANNED
muir glen diced tomato,"1,48","806,6",typology,VEGETABLES CANNED
v- 8 vegetable juice,,,no_match,NO_MATCH
muir glen tomato paste,"1,30",855,ingredient,TOMATO PASTE
muir glen crushed tomato,"1,48","806,6",typology,VEGETABLES CANNED
muir glen tomato,"1,865","336,0",typology,VEGETABLES
crushed pepper,"0,65",379,ingredient,PEPPER
hazelnut-flavored coffee creamer,"1,84",,ingredient,HAZELNUT CREAM
zest tangerine,"2,15","748,0",typology,FRUIT
merkts cheese spread,"8,93",5253,ingredient,CHEESE
animal cookie,"1,39",1723,ingredient,SIMPLE COOKIES**
vanilla wafers,"4,30",,ingredient,VANILLA
mild cheese,"8,93",5253,ingredient,CHEESE
dry roasted peanuts,"0,83",2782,ingredient,PEANUT
potato skin,"0,24",555,ingredient,POTATO
prepared caramel ice cream topping,,,no_match,NO_MATCH
refrigerated crescent dinner roll,"0,86","901,8",typology,BREAD
grated colby cheese,"9,59",5060,ingredient,CHEESE GRATED
lady savoiardi,,,no_match,NO_MATCH
orange cream sandwich biscuit,"1,47","1870,3",typology,BISCUITS
jasmine long grain rice,"2,19",1597,ingredient,RICE*
lal qilla rice,"2,19",1597,ingredient,RICE*
red saffron strand,"0,84",731000,ingredient,SAFFRON
crushed cashew,"1,38",11264,ingredient,CASHEW NUT
chocolate graham crackers,"0,98","1258,0",typology,CRACKERS
Zwieback toast,"0,86","901,8",typology,BREAD
chocolate Oreo cookie crumbs,"1,53",2902,ingredient,CHOCOLATE OR CREAM FILLED COOKIES**
huy fong chili-garlic sauce,,,no_match,NO_MATCH
scoops vanilla ice cream,"4,30",,ingredient,ICE CREAM
baking flour,"0,87",1849,ingredient,WHEAT FLOUR
chopped strawberry,"0,61",413,ingredient,STRAWBERRY
