ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;;;
small dried hot red chili pepper;0,84;8280;typology;SPICIES;;;;;
sparkling non-alcoholic apple cider;2,86;1140;ingredient;APPLE JUICE (I);;;;;
highly seasoned flour;;;no_match;NO_MATCH;;;;;
cooked rice noodle;;;no_match;NO_MATCH;;;;;
whole wheat pita bread;0,86;901,8;typology;BREAD;;;;;
pate;;;no_match;NO_MATCH;;;;;
hing;;;no_match;NO_MATCH;;;;;
bottle white wine;0,66;524;ingredient;WINE WHITE;;;;;
small unpeeled apple;0,25;622;ingredient;APPLE;;;;;
Tostitos Scoop;1,35;1423,3;typology;CRISPBREAD;;;;;
medium scallops;5,67;1856;typology;SHELLFISH;;;;;
citrus-infused vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;;;
blackberry herbal tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
pureed mango;0,31;1855;ingredient;MANGO;;;;;
malibu pineapple rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;;;
green ginger wine;0,84;1657;ingredient;GINGER;;;;;
cooked red kidney bean;0,78;555,5;typology;LEGUMES CANNED;;;;;
finely chopped English cucumber;0,27;353;ingredient;CUCUMBER;;;;;
Chinese chili sauce;0,84;8280;typology;SPICIES;;;;;
ground sesame seed;0,88;9371;ingredient;SESAM SEED;;;;;
diet cola;;;no_match;NO_MATCH;;;;;
amino acid;;;no_match;NO_MATCH;;;;;
Rotel diced tomato;1,48;806,6;typology;VEGETABLES CANNED;;;;;
package McCormick mild chili seasoning;0,84;8280;typology;SPICIES;;;;;
super firm tofu;2,27;1724;ingredient;TOFU;;;;;
hoagie rolls;0,86;901,8;typology;BREAD;;;;;
jerk sauce;0,84;8280;typology;SPICIES;;;;;
diced chili-ready tomato;1,48;806,6;typology;VEGETABLES CANNED;;;;;
blackberry brandy;8,22;;ingredient;Brandy;https://livelca.com/products/brandy_30e6d270-02c0-4de2-8777-622ea7e107a7;Brandy used as proxy for every brandy;;;
roma tomatoes;0,45;41;ingredient;TOMATO;;;;;
frozen green beans;2,26;555,5;ingredient;GREEN BEANS (F);;;;;
romano bean;0,43;5053;ingredient;BEAN;;;;;
instant tea powder;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
whole fresh cranberry;0,64;276;ingredient;CRANBERRY;;;;;
chopped stewed tomato;1,47;713;ingredient;TOMATO CHOPPED;;;;;
large bell pepper;0,65;379;ingredient;PEPPER;;;;;
Certo;;;no_match;NO_MATCH;;;;;
canned diced green chile;1,48;806,6;typology;VEGETABLES CANNED;;;;;
great northern beans;0,78;555,5;ingredient;BEANS IN CAN;;;;;
spicy diced tomatoes;;;no_match;NO_MATCH;;;;;
instant tapioca pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;;;
lean sirloin beef;;;no_match;NO_MATCH;;;;;
mild salsa;;;no_match;NO_MATCH;;;;;
fresh grape tomato;0,45;41;ingredient;TOMATO;;;;;
white frosting;1,14;;ingredient;WHITE FROSTING;https://apps.carboncloud.com/climatehub/product-reports/070980322966/USA;WHITE FROSTING used as proxy for every frosing;;;
Chinese egg noodle;3,15;4637;ingredient;EGG PASTA*;;;;;
probiotic yogurt;2,55;1540;ingredient;YOGURT FLAVORED;;;;;
rockfish;5,19;2313,5;ingredient;ROCK FISH;;;;;
flavored rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
Chinese bellflower;1,18;336;typology;VEGETABLES;;;;;
sheet jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
walla walla onion;0,22;290;ingredient;ONION;;;;;
fresh jalapeno pepper;0,84;8280;typology;SPICIES;;;;;
unseasoned rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
lemon jelly;0,34;642;ingredient;LEMON;;;;;
cinnamon apple;0,81;6847;ingredient;APPLES;;;;;
sesame paste;;;no_match;NO_MATCH;;;;;
caribou;;;no_match;NO_MATCH;;;;;
broccoli carrot cauliflower mix;1,18;336;typology;VEGETABLES;;;;;
baked tofu;2,27;1724;ingredient;TOFU;;;;;
whole bay leaf;;;no_match;NO_MATCH;;;;;
whole carrot;0,24;195;ingredient;CARROT;;;;;
beef bullion square;;;no_match;NO_MATCH;;;;;
packet sazon goya with coriander and annatto;0,84;8280;ingredient;CORIANDER;;;;;
whole boneless skinless chicken breast;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;;;
cut green bean;0,52;555,5;ingredient;GREEN BEAN (fresh);;;;;
chocolate almond bark;4,12;;ingredient;ALMOND COVERED WITH CHOCOLATE;;;;;
aguardiente;;;no_match;NO_MATCH;;;;;
cloves crushed garlic;0,25;589;ingredient;GARLIC;;;;;
baby tomato;0,45;41;ingredient;TOMATO;;;;;
ripe mango;0,31;1855;ingredient;MANGO;;;;;
pineapple bit;0,55;255;ingredient;PINEAPPLE (I);;;;;
cooked fruit;2,15;748;typology;FRUIT;;;;;
dried prune;0,81;2636,5;typology;DRIED FRUIT;;;;;
golden seedless raisin;0,81;2636,5;ingredient;RAISIN;;;;;
dried peach;0,81;2636,5;typology;DRIED FRUIT;;;;;
medium lemon slice;0,34;642;ingredient;LEMON;;;;;
medium lime slice;0,34;642;ingredient;LIME;;;;;
cranberry herbal tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
orange chunk;0,3;654;ingredient;ORANGE;;;;;
low sodium soy;;;no_match;NO_MATCH;;;;;
premium grade sweet soy;;;no_match;NO_MATCH;;;;;
piece crystallized ginger;0,84;1657;ingredient;GINGER;;;;;
gallon apple cider;2,86;1140;ingredient;APPLE JUICE (I);;;;;
cut yellow beans;0,43;5053;ingredient;BEAN;;;;;
peach wine;0,39;910;ingredient;PEACH;;;;;
sweet marsala wine;0,66;524;typology;WINE;;;;;
jellyfish;;;no_match;NO_MATCH;;;;;
chili mix;0,84;8280;typology;SPICIES;;;;;
milk chocolate melt;3,16;20717;ingredient;MILK CHOCOLATE;;;;;
very cherry;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;;;
a&w;;;no_match;NO_MATCH;;;;;
wizzys smokin your favorite barbecue rub;0,84;8280;typology;SPICIES;;;;;
red;;;no_match;NO_MATCH;;;;;
navy;;;no_match;NO_MATCH;;;;;
northern;;;no_match;NO_MATCH;;;;;
split;;;no_match;NO_MATCH;;;;;
yellow;;;no_match;NO_MATCH;;;;;
package macaroni;1,21;1508;ingredient;PASTA*;;;;;
daiquiri mix;2,86;1019;typology;FRUIT JUICE;;;;;
cranberry liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;;;
orange-pekoe tea;;;no_match;NO_MATCH;;;;;
COOL WHIP Whipped Topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);;;
chilli paste;0,84;8280;typology;SPICIES;;;;;
cassia chip;;;no_match;NO_MATCH;;;;;
calcium;;;no_match;NO_MATCH;;;;;
red rice vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
aleppo pepper;0,65;379;ingredient;PEPPER;;;;;
strawberry jelly;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
brownie bar dough;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;;;
pumpkin spice syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
white chocolate sauce;3,16;20717;typology;CHOCOLATE;;;;;
malted instant chocolate drink mix;3,16;20717;typology;CHOCOLATE;;;;;
kimchee;1,18;336;typology;VEGETABLES;;;;;
beefsteak;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;;;
pilchard;5,19;2313,5;ingredient;PILCHARD;;;;;
venison steak;;;no_match;NO_MATCH;;;;;
bottle dark beer;0,69;155;typology;BEER;;;;;
env dream whipped topping;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);;;
chocolate instant pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;;;
maifun;;;no_match;NO_MATCH;;;;;
lime pepper;0,84;8280;typology;SPICIES;;;;;
rose syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
mashed cooked pumpkin;0,24;336;ingredient;PUMPKIN;;;;;
recipe plain pie pastry;;;no_match;NO_MATCH;;;;;
Miracle Whip light;1,46;572;ingredient;MAYONNAISE;;;;;
twist;;;no_match;NO_MATCH;;;;;
soul food seasoning;0,84;8280;typology;SPICIES;;;;;
deer meat;;;no_match;NO_MATCH;;;;;
slices toasted bread;0,86;901,8;typology;BREAD;;;;;
panini;;;no_match;NO_MATCH;;;;;
baby squash;0,33;336;ingredient;SQUASH;;;;;
hot sesame chili oil;0,84;8280;typology;SPICIES;;;;;
chicken soup powder;36,8;;ingredient;BOUILLON CUBES, CHICKEN;https://apps.carboncloud.com/climatehub/product-reports/032251100482/USA;;;;
goat stew meat;20,96;;ingredient;Goat;https://livelca.com/products/goat_1a8469e2-12bd-4637-bb43-80249e256647;;;;
elk roast;;;no_match;NO_MATCH;;;;;
puy lentil;0,52;5874;ingredient;LENTIL;;;;;
buckwheat flake;0,57;1618;typology;GRAINS;;;;;
hearts of palm;;;no_match;NO_MATCH;;;;;
Greek seasoning;0,84;8280;typology;SPICIES;;;;;
blueberry-flavored syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
dried ground thyme;;;no_match;NO_MATCH;;;;;
quart pineapple sherbet;4,3;1599;typology;ICE CREAM;;;;;
powdered egg white;;;no_match;NO_MATCH;;;;;
macapuno;2,15;748;typology;FRUIT;;;;;
cappuccino mix;0,55;960;ingredient;COFFEE SOLUBLE POWDER (L);;;;;
delicata squash;0,24;336;ingredient;PUMPKIN;;;;;
chamomile tea bag;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
masala leaf;;;no_match;NO_MATCH;;;;;
avocado oil;2,11;6792;typology;OIL;;;;;
sugar pumpkin;0,78;1294,5;typology;SUGAR;;;;;
slice stale bread;0,86;667;ingredient;BREAD;;;;;
cooked radiatore;;;no_match;NO_MATCH;;;;;
thinly sliced spinach;0,34;292;ingredient;SPINACH;;;;;
pork soup bone;3,44;4361;ingredient;PORK MEAT WITH BONE*;;;;;
diced hot pepper;0,84;8280;typology;SPICIES;;;;;
wooden popsicle stick;;;no_match;NO_MATCH;;;;;
fresh spinach leaves;0,34;292;ingredient;SPINACH;;;;;
mint syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
ground thyme;;;no_match;NO_MATCH;;;;;
flank;;;no_match;NO_MATCH;;;;;
pureed strawberry;0,61;413;ingredient;STRAWBERRY;;;;;
baby red potato;0,24;555;ingredient;POTATO;;;;;
fresh tarragon leaf;;;no_match;NO_MATCH;;;;;
sweet rice wine;;;no_match;NO_MATCH;;;;;
beef chuck steak;;;no_match;NO_MATCH;;;;;
jar masala;0,84;8280;typology;SPICIES;;;;;
cooked basmati rice;2,19;1597;ingredient;RICE*;;;;;
fresh pear;0,27;922;ingredient;PEAR;;;;;
walker chicken potato chip;;;no_match;NO_MATCH;;;;;
scoop powdered soy protein concentrate;2,27;1724,5;typology;VEGETAL PROTEINS;;;;;
torn lettuce;0,41;237;ingredient;LETTUCE;;;;;
unsweetened dried cranberry;0,64;276;ingredient;CRANBERRY;;;;;
ground cranberries;0,64;276;ingredient;CRANBERRY;;;;;
dried pineapple chunk;0,55;255;ingredient;PINEAPPLE (I);;;;;
chopped fresh thyme leaves;;;no_match;NO_MATCH;;;;;
large yellow squash;0,7;336;ingredient;ZUCCHINI;;;;;
fennel mixed spice;0,33;362;ingredient;FENNEL;;;;;
lawrys lemon pepper seasoning;0,65;379;ingredient;PEPPER;;;;;
thin green bean;0,52;555,5;ingredient;GREEN BEAN (fresh);;;;;
carrot cake;0,24;195;ingredient;CARROT;;;;;
jar candied cherry;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;;;
sun dried tomato vinaigrette dressing;;;no_match;NO_MATCH;;;;;
baby bok choy;;;no_match;NO_MATCH;;;;;
gai choy;;;no_match;NO_MATCH;;;;;
loin;3,44;5798;ingredient;PORK CUTS WITH BONE;;;;;
ground gingerroot;0,84;1657;ingredient;GINGER;;;;;
whole wheat bread crumb;0,86;901,8;typology;BREAD;;;;;
key lime zest;2,15;748;typology;FRUIT;;;;;
dried cayenne chili pepper flake;0,84;8280;typology;SPICIES;;;;;
light muscovado sugar;0,78;1294,5;typology;SUGAR;;;;;
tinned chickpea;0,52;4177;ingredient;CHICKPEA;;;;;
plain gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
heavy sweet cream;5,45;3838;ingredient;CREAM;;;;;
hulled green pumpkin seed;0,88;3087,5;typology;SEEDS;;;;;
lean ground lamb;25,23;10412;ingredient;LAMB BONE FREE MEAT*;;;;;
fat free Greek yogurt;2,55;1540;typology;YOGURT;;;;;
chocolate swiss roll;4,3;;ingredient;CHOCOLATE;;;;;
nori sheet;;;no_match;NO_MATCH;;;;;
dried large lima bean;0,52;4615;typology;LEGUMES DRIED;;;;;
matzo farfel;0,86;901,8;typology;BREAD;;;;;
reserved apricot juice;0,3;1287;ingredient;APRICOT;;;;;
small soft flour tortilla;;;no_match;NO_MATCH;;;;;
artichoke oil;2,11;6792;typology;OIL;;;;;
black bean paste;1,46;572;ingredient;SOY PASTE;;;;;
brown lentils;0,52;5874;ingredient;LENTIL;;;;;
extra olive oil;3,27;14415;ingredient;OLIVE OIL;;;;;
lemon sorbet;0,34;642;ingredient;LEMON;;;;;
turkey chourico;;;no_match;NO_MATCH;;;;;
shaoxing rice wine;;;no_match;NO_MATCH;;;;;
falafel;;;no_match;NO_MATCH;;;;;
peach salsa;0,39;910;ingredient;PEACH;;;;;
ground habanero chile pepper;0,84;8280;typology;SPICIES;;;;;
scungilli;;;no_match;NO_MATCH;;;;;
cube chicken stock;;;no_match;NO_MATCH;;;;;
baby pea;0,45;1979;ingredient;PEA;;;;;
lite olive oil;2,11;14726;ingredient;OLIVE OIL REFINED;;;;;
dried red lentil;0,52;4615;typology;LEGUMES DRIED;;;;;
canned fruit;2,15;748;typology;FRUIT;;;;;
marinated artichoke heart;0,33;818;ingredient;ARTICHOKE;;;;;
small red shallot;0,25;272;ingredient;SHALLOT;;;;;
small red chile;0,84;8280;typology;SPICIES;;;;;
citrus mixed candied peel;0,81;2636,5;typology;DRIED FRUIT;;;;;
boneless beef chuck roast;25,75;15139;ingredient;BEEF BONE FREE MEAT*;;;;;
pumpkin quick bread mix;2,05;;ingredient;PUMPKIN BREAD BAKING MIX;https://apps.carboncloud.com/climatehub/product-reports/054467072957/USA;;;;
medium green king prawn;7,04;1856;ingredient;PRAWNS/SHRIMPS;;;;;
small fresh red chile;0,84;8280;typology;SPICIES;;;;;
large green pepper;0,65;379;ingredient;PEPPER;;;;;
sriracha hot sauce;0,84;8280;typology;SPICIES;;;;;
veal medallion;;;no_match;NO_MATCH;;;;;
frozen berries;1,18;748;ingredient;RASPBERRIES (F)*;;;;;
sweet pickle;0,32;1604;ingredient;CHERRY SWEET;;;;;
crushed toasted almond;1,11;16095;ingredient;ALMOND SHELLED;;;;;
egg replacer;;;no_match;NO_MATCH;;;;;
cooked bean;0,43;5053;ingredient;BEAN;;;;;
crab claw meat;7,04;1974;ingredient;CRUSTACEAN;;;;;
cranberry muffin mix;;;no_match;NO_MATCH;;;;;
pumpkin mush;0,24;336;ingredient;PUMPKIN;;;;;
medium pumpkin;0,24;336;ingredient;PUMPKIN;;;;;
fruit vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
fruit cocktail-juice;2,86;1019;typology;FRUIT JUICE;;;;;
smokies;5,99;6177;ingredient;SAUSAGES;;;;;
cilantro puree;0,84;8280;ingredient;CORIANDER;;;;;
thin soy sauce;1,46;613;ingredient;SOY SAUCE;;;;;
hot oil;2,11;6792;typology;OIL;;;;;
choy sum;;;no_match;NO_MATCH;;;;;
sambal oblek chili paste;0,84;8280;typology;SPICIES;;;;;
chilled shortening;;;no_match;NO_MATCH;;;;;
diced red bell pepper;0,65;379;ingredient;PEPPER;;;;;
pineapple-orange juice concentrate;2,86;1019;typology;FRUIT JUICE;;;;;
chopped shallot;0,25;272;ingredient;SHALLOT;;;;;
chile sauce;0,84;8280;typology;SPICIES;;;;;
formula;;;no_match;NO_MATCH;;;;;
cayenne seasoning;0,84;8280;typology;SPICIES;;;;;
finely chopped gingerroot;0,84;1657;ingredient;GINGER;;;;;
orange concentrate;0,46;1019;ingredient;ORANGE JUICE;;;;;
threebe;;;no_match;NO_MATCH;;;;;
frozen tart shell;;;no_match;NO_MATCH;;;;;
peach slices in syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
chicken salad;;;no_match;NO_MATCH;;;;;
pork shoulder steak;3,44;5798;ingredient;PORK CUTS WITH BONE;;;;;
minced fresh tarragon;;;no_match;NO_MATCH;;;;;
maccha green tea powder;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
frozen coconut;1,07;1971;ingredient;COCONUT (I);;;;;
steak spice;0,65;379;ingredient;PEPPER;;;;;
wheat bread flour;0,87;1849;ingredient;WHEAT FLOUR;;;;;
prickly pear;2,15;748;typology;FRUIT;;;;;
small hot red pepper;0,84;8280;typology;SPICIES;;;;;
sprig Thai basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;;;
mandarin orange peel;2,15;748;typology;FRUIT;;;;;
soy bean oil;1,79;4190;ingredient;SOYBEAN OIL;;;;;
mesquite wood chip;;;no_match;NO_MATCH;;;;;
asian chili-garlic sauce;0,25;589;ingredient;GARLIC;;;;;
pears in heavy syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
mostaccioli pasta;1,21;1508;ingredient;PASTA*;;;;;
gyoza skin;;;no_match;NO_MATCH;;;;;
no-calorie artificial sweetener;;;no_match;NO_MATCH;;;;;
colored sugar sprinkle;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;;;
pluot;;;no_match;NO_MATCH;;;;;
white nectarine;2,15;748;typology;FRUIT;;;;;
habanero sauce;0,84;8280;typology;SPICIES;;;;;
little smokie cocktail frank;;;no_match;NO_MATCH;;;;;
sugar twin brown sugar substitute;0,78;1294,5;typology;SUGAR;;;;;
blended bread flour;0,87;1849;ingredient;WHEAT FLOUR;;;;;
fish cake;2,12;2313,5;typology;FISH PROCESSED;;;;;
korean red pepper powder;0,65;379;ingredient;PEPPER;;;;;
Persian cucumber;0,27;353;ingredient;CUCUMBER;;;;;
chicken parts;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;;;
cayenne chili pepper flakes;0,84;7611;ingredient;PEPPER (PIPER SPP.);;;;;
lecithin;;;no_match;NO_MATCH;;;;;
minced dried spearmint;0,84;8280;typology;SPICIES;;;;;
large purple onion;0,22;290;ingredient;ONION;;;;;
anise tea;0,4;;ingredient;Tea;https://livelca.com/products/tea_3d049a81-4234-481c-8aba-74d0297e8e7c;;;;
oat bran flour;0,87;1889,5;typology;GRAIN FLOUR;;;;;
chopped ripe tomato;1,47;713;ingredient;TOMATO CHOPPED;;;;;
grapefruit juice concentrate;2,86;675;ingredient;GRAPEFRUIT JUICE;;;;;
kool-aid mix;10,8;;ingredient;KOOL-AID, SINGLES, DRINK MIX, ORANGE, ORANGE;https://apps.carboncloud.com/climatehub/product-reports/id/1089689554363;;;;
sour cream and chive Pasta Roni;;;no_match;NO_MATCH;;;;;
frozen dinner roll;1,31;;ingredient;BREAD FROZEN (F)*;;;;;
Absolut vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;;;
beef consomme soup;;;no_match;NO_MATCH;;;;;
reserved poaching water;;;no_match;NO_MATCH;;;;;
Pillsbury Grands refrigerated cinnamon roll;;;no_match;NO_MATCH;;;;;
cinnamon roll icing;1,99;2158;typology;SWEETS;;;;;
gold tequila;;;no_match;NO_MATCH;;;;;
light Hawaiian Punch;2,86;1019;typology;FRUIT JUICE;;;;;
Bacardi Fuzzy Navel mix;;;no_match;NO_MATCH;;;;;
twist lime peel;2,15;748;typology;FRUIT;;;;;
grade b maple syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
chicken-flavored vegetarian seasoning;;;no_match;NO_MATCH;;;;;
chop suey vegetable;0,54;362;ingredient;VEGETABLES;;;;;
shoulder lamb chop;16,7;4362;ingredient;LAMB MEAT WITH BONE*;;;;;
szechuan stir-fry sauce;;;no_match;NO_MATCH;;;;;
breading;;;no_match;NO_MATCH;;;;;
green cardamom powder;;;no_match;NO_MATCH;;;;;
chopped cashew;1,38;11264;ingredient;CASHEW NUT;;;;;
chicken gravy mix;;;no_match;NO_MATCH;;;;;
large ripe banana;0,34;748;ingredient;BANANA;;;;;
shiitake;;;no_match;NO_MATCH;;;;;
Jiffy cornbread mix;;;no_match;NO_MATCH;;;;;
strawberry vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;;;
raspberry-flavored sparkling water;;;no_match;NO_MATCH;;;;;
pod star anise;0,84;8280;ingredient;ANISE;;;;;
frozen;0,64;276;ingredient;CRANBERRY;;"In the recipe that uses this ingredient it refers to frozen cranberries; should be fixed";;;
frozen melon ball;0,61;1506,5;ingredient;MELON;;;;;
Jiffy corn muffin mix;;;no_match;NO_MATCH;;;;;
baby green bean;0,52;555,5;ingredient;GREEN BEAN (fresh);;;;;
stalk green onion;0,22;290;ingredient;ONION;;;;;
sugar-free caramel topping;;;no_match;NO_MATCH;;;;;
garlic toast;0,86;901,8;typology;BREAD;;;;;
baby leek;1,18;336;typology;VEGETABLES;;;;;
bunch basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;;;
garnish powdered sugar;0,78;1294,5;typology;SUGAR;;;;;
additional water;0,49;;ingredient;MINERAL WATER*;;;;;
dehydrated soup greens;0,54;362;ingredient;VEGETABLES;;;;;
pie cherry;1,85;;ingredient;CHERRY PIE, CHERRY;https://apps.carboncloud.com/climatehub/product-reports/046567032924/USA;;;;
togarashi;;;no_match;NO_MATCH;;;;;
soy protein flake;2,27;1724,5;typology;VEGETAL PROTEINS;;;;;
chamomile flower;;;no_match;NO_MATCH;;;;;
hpnotiq liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;;;
lentil sprout;0,52;555,5;typology;LEGUMES FRESH;;;;;
decorative red-hot candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;;;
onion skin;0,22;290;ingredient;ONION;;;;;
pama pomegranate liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;;;
cooked oatmeal;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
low-fat margarine;1,39;1324;ingredient;MARGARINE*;;;;;
raspberry jelly crystal;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
lamington;;;no_match;NO_MATCH;;;;;
cherry ripe candy bar;9,63;;ingredient;SNICKERS, CANDY BAR;https://apps.carboncloud.com/climatehub/product-reports/040000499039/USA;Snickers used as proxy for chocolate candy bars;;;
slice lime;0,34;642;ingredient;LIME;;;;;
tahini paste;0,84;8280;typology;SPICIES;;;;;
chipotle hot sauce;0,84;8280;typology;SPICIES;;;;;
dried chili flake;0,84;8280;typology;SPICIES;;;;;
white grapefruit;0,662;;ingredient;Grapefruit;https://livelca.com/products/grapefruit_c38d3731-1b82-409d-87f8-95fc897f0d32;;;;
pink grapefruit;0,662;;ingredient;Grapefruit;https://livelca.com/products/grapefruit_c38d3731-1b82-409d-87f8-95fc897f0d32;;;;
red grapefruit;0,662;;ingredient;Grapefruit;https://livelca.com/products/grapefruit_c38d3731-1b82-409d-87f8-95fc897f0d32;;;;
slices pineapple;0,55;255;ingredient;PINEAPPLE (I);;;;;
chopped flat leaf parsley;1,18;336;typology;VEGETABLES;;;;;
nama shoyu;;;no_match;NO_MATCH;;;;;
malibu coconut;;;no_match;NO_MATCH;;;;;
tiger shrimp;7,04;1856;ingredient;PRAWNS/SHRIMPS;;;;;
vanilla caramel;2,74;;ingredient;Tofees;https://livelca.com/products/toffees_b0dee6db-9d0d-46c2-bcf1-34eeabfbebc5;;;;
rice powder;0,87;1889,5;typology;GRAIN FLOUR;;;;;
sunflower seed kernel;0,88;3366;ingredient;SUNFLOWER SEED;;;;;
red beans;0,43;5053;ingredient;BEAN;;;;;
apricot filling;0,3;1287;ingredient;APRICOT;;;;;
fresh ground red pepper;;;no_match;NO_MATCH;;;;;
black sesame seeds;0,88;9371;ingredient;SESAM SEED;;;;;
elk rump roast;;;no_match;NO_MATCH;;;;;
crusty bread roll;0,86;901,8;typology;BREAD;;;;;
dried tomato;;;no_match;NO_MATCH;;;;;
currant juice;0,64;499;ingredient;CURRANT;;;;;
