ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes
chicken stock powder;36.800;;ingredient;BOUILLON CUBES, CHICKEN;https://apps.carboncloud.com/climatehub/product-reports/032251100482/USA;Self-mapped
half;;;NO_MATCH;NO_MATCH;;
sweet paprika;0.840;8280.000;typology;SPICIES;;
parsley leaf;0.840;8280.000;ingredient;CORIANDER;;
old fashioned oats;2.640;2196.500;typology;BREAKFAST CEREALS;;
angel food cake;2.140;1640.000;ingredient;CAKES AND CROISSANT**;;Self-mapped
celery stalk;0.330;362.000;ingredient;CELERY;;
beef round steak;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
aminos;5.330;;ingredient;Amino acids;https://apps.carboncloud.com/climatehub/product-reports/id/3462679691924;
vegetable bouillon cube;1.750;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;
sliced peach;0.390;910.000;ingredient;PEACH;;
Cool Whip Lite;2.420;;ingredient;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT used as proxy for every whipped topping (panna montata)
chicken rice-a-roni;2.190;1597.000;ingredient;RICE*;;
jellied cranberry sauce;0.640;276.000;ingredient;CRANBERRY;;
dried red pepper flake;0.840;8280.000;typology;SPICIES;;
skim milk powder;15.800;;ingredient;Whole milk powder, 95% DM;https://apps.carboncloud.com/climatehub/product-reports/id/170300964422;
French onion soup mix;0.220;290.000;ingredient;ONION;;Self-mapped
hamburger meat;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
sweetened coconut;1.070;1971.000;ingredient;COCONUT (I);;
dry crushed red pepper;0.840;8280.000;typology;SPICIES;;
garbanzo;0.520;555.500;typology;LEGUMES;;
adobo sauce;0.840;8280.000;typology;SPICIES;;Self-mapped
tzatziki;;;NO_MATCH;NO_MATCH;;
sorrel;;;NO_MATCH;NO_MATCH;;
whole kernel corn;0.480;1191.000;ingredient;MAIZE;;Self-mapped
millet flour;0.870;1889.500;ingredient;MILLET FLOUR;;
red capsicum;0.650;379.000;ingredient;PEPPER;;
herbs;0.260;;ingredient;Herbs, open field, fresh;https://apps.carboncloud.com/climatehub/product-reports/id/482093060569;
fennel leaf;0.330;362.000;ingredient;FENNEL;;
cooked brown rice;0.570;2230.000;ingredient;RICE GROATS;;
Thai red curry paste;0.840;8280.000;typology;SPICIES;;
chopped fresh basil;0.300;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;
ripe tomato;0.450;41.000;ingredient;TOMATO;;
large carrot;0.240;195.000;ingredient;CARROT;;
Lipton Onion Soup Mix;0.220;290.000;ingredient;ONION;;Self-mapped
leg;;;TOO_GENERIC;TOO_GENERIC;;
duck leg;2.130;3330.300;ingredient;DUCK MEAT WITH BONE*;;
fresh mint;0.840;288.000;ingredient;PEPPERMINT;;
seasoned rice vinegar;0.840;8280.000;typology;SPICIES;;
chopped peanuts;0.830;2782.000;ingredient;PEANUT;;
chopped almonds;1.880;11264.000;ingredient;ALMOND;;
chicken bouillon granule;36.800;;ingredient;BOUILLON CUBES, CHICKEN;https://apps.carboncloud.com/climatehub/product-reports/032251100482/USA;
onion ring;0.220;290.000;ingredient;ONION;;
red curry paste;0.840;8280.000;typology;SPICIES;;Self-mapped
kernel;0.480;1191.000;ingredient;MAIZE;;
smoked ham;7.950;6177.000;ingredient;PORK HAM;;
granulated garlic;0.840;2265.000;ingredient;GARLIC POWDER;;
turbinado sugar;0.780;1294.500;typology;SUGAR;;
onion juice;0.220;290.000;ingredient;ONION;;
raspberry juice;2.860;1019.000;ingredient;CRANBERRY JUICE (I);;
frozen whipped topping;2.420;;ingredient;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT used as proxy for every whipped topping (panna montata)
dark red kidney bean;0.520;4615.000;typology;LEGUMES DRIED;;
goose;3.880;4325.000;ingredient;GOOSE BONE FREE MEAT;;
rotini pasta;1.210;1508.000;ingredient;PASTA*;;
chocolate milk;3.160;20717.000;ingredient;MILK CHOCOLATE;;
candy sprinkle;1.840;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies
M&Ms;3.160;20717.000;ingredient;MILK CHOCOLATE;;
candy coating;1.840;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies
herb seasoning;0.840;8280.000;typology;SPICIES;;
salmon steak;3.370;2193.000;ingredient;SALMON;;
dried currant;0.640;499.000;ingredient;CURRANT;;
shallots;0.250;272.000;ingredient;SHALLOT;;
chocolate drink mix;4.300;;ingredient;CHOCOLATE;;
apricots;0.300;1287.000;ingredient;APRICOT;;
dry breadcrumbs;0.860;901.800;typology;BREAD;;
chocolate candy bar;9.630;;ingredient;SNICKERS, CANDY BAR;https://apps.carboncloud.com/climatehub/product-reports/040000499039/USA;Snickers used as proxy for chocolate candy bars
dill pickle;0.775;336.000;typology;VEGETABLES;;
rings;;;TOO_GENERIC;TOO_GENERIC;;Rings of some vegetables
fish stock;2.120;2313.500;typology;FISH PROCESSED;;
chicken cutlet;3.680;3960.000;ingredient;CHICKEN BONE FREE MEAT;;
pork cutlet;3.440;5798.000;ingredient;PORK CUTS WITH BONE;;
chicken drummette;2.820;3330.000;ingredient;CHICKEN MEAT WITH BONE;;
focaccia bread;0.860;667.000;ingredient;BREAD;;
salted peanuts;0.830;2782.000;ingredient;PEANUT;;
bouillon powder;1.750;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;
Cheerios;2.640;2196.500;typology;BREAKFAST CEREALS;;
puffed rice cereal;2.640;2196.500;typology;BREAKFAST CEREALS;;
Italian seasoned breadcrumb;1.350;1423.300;typology;CRISPBREAD;;
ranch salad dressing;1.460;572.000;typology;DRESSING;;Self-mapped
shredded parmesan cheese;9.590;5060.000;ingredient;CHEESE GRATED;;
caramel candy;1.840;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies
Dream Whip;2.420;;ingredient;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT used as proxy for every whipped topping (panna montata)
toffee bit;2.740;;ingredient;Toffees;https://livelca.com/products/toffees_b0dee6db-9d0d-46c2-bcf1-34eeabfbebc5;
candied pineapple;0.550;255.000;ingredient;PINEAPPLE (I);;
sifted cake flour;0.870;1849.000;ingredient;WHEAT FLOUR;;
fraiche;5.450;5253.000;typology;CHEESE FRESH;;
plain breadcrumbs;0.860;901.800;typology;BREAD;;
miniature chocolate chip;4.300;;ingredient;CHOCOLATE;;
chocolate piece;4.300;;ingredient;CHOCOLATE;;
semisweet chocolate morsel;4.300;;ingredient;CHOCOLATE;;
smoked gouda cheese;8.930;5253.000;ingredient;CHEESE;;
lemon pie filling;0.340;642.000;ingredient;LEMON;;
amarula;2.150;748.000;typology;FRUIT;;
amarula cream liqueur;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer
condensed cream of mushroom soup;2.060;;ingredient;MUSHROOM*;;
corn chip;1.350;1423.300;typology;CRISPBREAD;;
fries;0.240;555.000;ingredient;POTATO;;
octopus;5.800;1856.000;ingredient;OCTOPUS;;
jar marshmallow cream;5.450;3838.000;ingredient;CREAM;;Self-mapped
Rice-A-Roni;2.190;1597.000;ingredient;RICE*;;
ranch dip mix;1.460;572.000;typology;DRESSING;;
chevre;8.930;5253.000;ingredient;CHEESE;;
dry buttermilk;1.440;1599.000;ingredient;BUTTERED MILK;;
shredded sharp cheddar cheese;9.590;5060.000;ingredient;CHEESE GRATED;;
cheese soup;8.930;5253.000;ingredient;CHEESE;;
butter flavor extract;25.000;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring
blend cheese;8.930;5253.000;ingredient;CHEESE;;
havarti cheese;8.930;5253.000;ingredient;CHEESE;;
pecorino;9.590;5253.000;ingredient;PECORINO;;
box powdered sugar;0.780;1294.500;typology;SUGAR;;
chevre cheese;9.590;5253.000;ingredient;GOAT CHEESE;;
french fry;0.240;555.000;ingredient;POTATO;;
seafood cocktail sauce;1.460;572.000;ingredient;MAYONNAISE;;
seltzer water;0.490;;ingredient;MINERAL WATER*;;
frozen lemonade concentrate;2.860;1019.000;typology;FRUIT JUICE;;
sugar cube;0.780;1294.500;typology;SUGAR;;
papaya nectar;0.320;460.000;ingredient;PAPAYA;;
mandarin oranges;2.150;748.000;typology;FRUIT;;
orange soda;1.350;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Self-mapped
raspberry gelatin powder;1.740;;ingredient;Gélatine, sèche;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;Gélatine, sèche used as proxy for every jelly
rose;;;NO_DATA;NO_DATA;;
cherry syrup;0.930;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups
